id,titulo,autor,idGenero
3,Blancanieves,Hermanos Grimm,1
9,Caperucita roja,Charles Perrault,1
18,Cien años de soledad,Gabriel Garcia Marquez,2
2,El gato con botas,Charles Perrault,1
14,El Hobbit,J. R. R. Tolkien,2
13,El ingenioso caballero Don Quijote de la Mancha,Miguel de Cervantes,2
4,El patito feo,Hans Christian Andersen,1
11,El Principito,Antoine de Saint-Exupery,2
1,La cenicienta,Charles Perrault,1
16,Las aventuras de Huckleberry Finn,Mark Twain,2
6,La bella durmiente,Charles Perrault,1
5,La sirenita,Hans Christian Andersen,1
20,Los miserables,Victor Hugo,2
8,Los tres cerditos,Joseph Jacobs,1
19,Moby Dick,Herman Melville,2
10,Pulgarcito,Charles Perrault,1
7,Ricitos de oro y los tres osos,Robert Southey,1
15,Robinson Crusoe,Daniel Defoe,2
17,Romeo y Julieta,William Shakespeare,2
12,Viaje al centro de la Tierra,Julio Verne,2